"DateTime","2021 All-Star Game"
"2021-04-02 10:05:40",7943
"2021-04-02 11:05:46",7881
"2021-04-02 12:05:52",7836
"2021-04-02 13:05:48",7796
"2021-04-02 14:05:57",8902
"2021-04-02 15:06:07",8883
"2021-04-02 16:06:02",8759
"2021-04-02 17:05:53",8785
"2021-04-02 18:05:45",8670
"2021-04-02 19:05:46",8571
"2021-04-02 20:05:47",8485
"2021-04-02 21:05:50",8412
"2021-04-02 22:05:59",8444
"2021-04-02 23:05:50",8473
"2021-04-03 00:05:38",8377
"2021-04-03 01:05:36",8301
"2021-04-03 02:05:33",8363
"2021-04-03 03:05:20",8493
"2021-04-03 04:05:18",8485
"2021-04-03 05:05:18",8485
"2021-04-03 06:05:19",8461
"2021-04-03 07:05:21",8487
"2021-04-03 08:05:25",8541
"2021-04-03 09:05:37",8541
"2021-04-03 10:05:39",8459
"2021-04-03 11:05:47",8382
"2021-04-03 12:05:51",8407
"2021-04-03 13:05:53",8314
"2021-04-03 14:06:15",8296
"2021-04-03 15:06:19",8244
"2021-04-03 16:06:36",8088
"2021-04-03 17:06:17",8046
"2021-04-03 18:06:24",8048
"2021-04-03 19:06:28",7965
"2021-04-03 20:06:20",8025
"2021-04-03 21:06:17",7995
"2021-04-03 22:06:18",7995
"2021-04-03 23:06:15",7991
"2021-04-04 00:06:12",8015
"2021-04-04 01:06:08",8180
"2021-04-04 02:06:20",8302
"2021-04-04 03:06:03",8300
"2021-04-04 04:05:53",8375
"2021-04-04 05:05:55",8388
"2021-04-04 06:05:53",8462
"2021-04-04 07:05:55",8502
"2021-04-04 08:06:06",8550
"2021-04-04 09:06:07",8561
"2021-04-04 10:06:18",8650
"2021-04-04 11:06:22",8751
"2021-04-04 12:06:28",8676
"2021-04-04 13:06:27",8741
"2021-04-04 14:06:27",8851
"2021-04-04 15:06:23",8839
"2021-04-04 16:06:24",8899
"2021-04-04 17:06:26",8898
"2021-04-04 18:06:20",8905
"2021-04-04 19:06:25",8935
"2021-04-04 20:06:26",9098
"2021-04-04 21:06:38",9104
"2021-04-04 22:06:26",9140
"2021-04-04 23:06:21",9193
"2021-04-05 00:06:20",9257
"2021-04-05 01:06:21",9387
"2021-04-05 02:06:16",9400
"2021-04-05 03:06:05",9385
"2021-04-05 04:06:06",9411
"2021-04-05 05:05:57",9457
"2021-04-05 06:05:54",9450
"2021-04-05 07:06:06",9441
"2021-04-05 08:06:10",9452
"2021-04-05 09:06:16",9397
"2021-04-05 10:06:50",9519
"2021-04-05 11:06:58",9515
"2021-04-05 12:07:15",9558
"2021-04-05 13:08:08",9569
"2021-04-05 14:07:12",9814
"2021-04-05 15:07:17",9967
"2021-04-05 16:07:03",9968
"2021-04-05 17:06:59",10000
"2021-04-05 18:06:39",9894
"2021-04-05 19:06:47",9869
"2021-04-05 20:07:06",9883
"2021-04-05 21:06:57",9902
"2021-04-05 22:06:43",9931
"2021-04-05 23:06:25",9923
"2021-04-06 00:06:17",9957
"2021-04-06 01:06:03",9958
"2021-04-06 02:05:58",9945
